id_municipio,latitude,longitude,fuso_horario,uf,regiao
3106655,-15.61,-41.7432,America/Sao_Paulo,MG,Sudeste
3106606,-17.059,-40.58,America/Sao_Paulo,MG,Sudeste
3106705,-19.9668,-44.2008,America/Sao_Paulo,MG,Sudeste
3106804,-21.602,-43.7574,America/Sao_Paulo,MG,Sudeste
3106903,-21.7232,-43.056,America/Sao_Paulo,MG,Sudeste
3107000,-18.7754,-45.4974,America/Sao_Paulo,MG,Sudeste
3107109,-21.0927,-45.5612,America/Sao_Paulo,MG,Sudeste
3107208,-22.1697,-44.3972,America/Sao_Paulo,MG,Sudeste
3107307,-17.1135,-43.8104,America/Sao_Paulo,MG,Sudeste
3107406,-19.7386,-45.2622,America/Sao_Paulo,MG,Sudeste
3107505,-21.9479,-44.1885,America/Sao_Paulo,MG,Sudeste
3107604,-21.0148,-46.5174,America/Sao_Paulo,MG,Sudeste
3107703,-19.7054,-43.4782,America/Sao_Paulo,MG,Sudeste
3107802,-19.836,-42.3165,America/Sao_Paulo,MG,Sudeste
3107901,-22.4675,-46.144,America/Sao_Paulo,MG,Sudeste
3108008,-21.0329,-44.7537,America/Sao_Paulo,MG,Sudeste
3108107,-20.3302,-44.2366,America/Sao_Paulo,MG,Sudeste
3108206,-16.568,-45.9839,America/Sao_Paulo,MG,Sudeste
3108255,-15.3231,-44.7543,America/Sao_Paulo,MG,Sudeste
3108305,-22.2707,-46.1653,America/Sao_Paulo,MG,Sudeste
3108404,-21.6412,-46.391,America/Sao_Paulo,MG,Sudeste
3108503,-16.8657,-43.0086,America/Sao_Paulo,MG,Sudeste
3108701,-20.8419,-43.2406,America/Sao_Paulo,MG,Sudeste
3108552,-16.9999,-46.0081,America/Sao_Paulo,MG,Sudeste
3108602,-16.2104,-44.4299,America/Sao_Paulo,MG,Sudeste
3108800,-19.0562,-42.7099,America/Sao_Paulo,MG,Sudeste
3108909,-22.4743,-45.6166,America/Sao_Paulo,MG,Sudeste
3109006,-20.151,-44.2007,America/Sao_Paulo,MG,Sudeste
3109105,-22.4383,-46.3491,America/Sao_Paulo,MG,Sudeste
3109204,-17.8744,-44.1775,America/Sao_Paulo,MG,Sudeste
3109253,-19.4231,-42.2552,America/Sao_Paulo,MG,Sudeste
3109303,-15.6218,-46.4221,America/Sao_Paulo,MG,Sudeste
3109402,-17.3656,-44.9606,America/Sao_Paulo,MG,Sudeste
3109451,-16.0335,-47.0862,America/Sao_Paulo,MG,Sudeste
3109501,-21.4699,-46.3919,America/Sao_Paulo,MG,Sudeste
3109600,-19.521,-44.4544,America/Sao_Paulo,MG,Sudeste
3109709,-22.3511,-45.7809,America/Sao_Paulo,MG,Sudeste
3102704,-15.9688,-41.4948,America/Sao_Paulo,MG,Sudeste
3109808,-18.5161,-49.5039,America/Sao_Paulo,MG,Sudeste
3109907,-19.2971,-44.4189,America/Sao_Paulo,MG,Sudeste
3110004,-19.8826,-43.6704,America/Sao_Paulo,MG,Sudeste
3110103,-20.6956,-41.9292,America/Sao_Paulo,MG,Sudeste
3110202,-20.7903,-42.7925,America/Sao_Paulo,MG,Sudeste
3110301,-21.9183,-46.3843,America/Sao_Paulo,MG,Sudeste
3110400,-20.6294,-45.1593,America/Sao_Paulo,MG,Sudeste
3110509,-22.7515,-46.1494,America/Sao_Paulo,MG,Sudeste
3110608,-22.6115,-46.0572,America/Sao_Paulo,MG,Sudeste
3110707,-21.854,-45.2896,America/Sao_Paulo,MG,Sudeste
3110806,-18.2427,-41.7355,America/Sao_Paulo,MG,Sudeste
3110905,-21.836,-45.4004,America/Sao_Paulo,MG,Sudeste
3111002,-21.7079,-46.2381,America/Sao_Paulo,MG,Sudeste
